Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
"Chicago and Earth, Wind & Fire,",9/3/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Seattle Storm vs. Phoenix Mercury,9/7/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Sound Check! The Music We Make,Now through 9/14/2024,Wing Luke Museum,Museums,International District,,47.5982461,-122.3228705,"[False, True, False]"
Seattle Sounders FC vs. Sporting Kansas City,9/15/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
Seattle Storm vs. Los Angeles Sparks,9/15/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Seattle Storm vs. Las Vegas Aces,9/17/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Seattle Sounders FC vs. San Jose Earthquakes,9/18/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
Seatle Sounders FC vs. Houston Dynamo,9/28/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
Raul de Nieves,Now through 9/30/2024,Henry Art Gallery,Museums,University District,,47.6565246,-122.31173279895636,"[False, True, False]"
Seattle Sounders FC vs. Portland Timbers,10/19/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
Sebastian Maniscalco,10/25/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Frye Salon,Now through 10/27/2024,Frye Art Museum,Museums,Capitol Hill / Central District,,47.60719095,-122.32405377084555,"[False, True, False]"
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024,Tacoma Art Museum,Museums,South,,47.2475134,-122.43680521780016,"[False, True, False]"
Joyce J. Scott: Walk a Mile in My Dreams,10/17/2024 through 1/20/2025,Seattle Art Museum,Museums,Downtown,,47.6077008,-122.3385575,"[False, True, False]"
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026,Bellevue Arts Museum,Museums,Bellevue / Eastside,,-21.266983,55.4113864,
Explore The Market,Ongoing,Pike Place Market,Festivals & Special Events,Downtown,,47.60939675,-122.34141017673986,"[False, True, False]"
Olympic Sculpture Park,Ongoing,Olympic Sculpture Park,Visual Arts & Galleries,Downtown,,47.6162378,-122.35431328817567,"[False, True, False]"
Infinite Worlds of Science Fiction,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,,47.621493099999995,-122.34822527405619,"[False, True, False]"
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,,47.621493099999995,-122.34822527405619,"[False, True, False]"
John Grade: Middle Fork,Ongoing,Seattle Art Museum,Museums,Downtown,,47.6077008,-122.3385575,"[False, True, False]"
Scared to Death: The Thrill of Horror Film,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,,47.621493099999995,-122.34822527405619,"[False, True, False]"
Nirvana: Taking Punk To the Masses,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,,47.621493099999995,-122.34822527405619,"[False, True, False]"
Vietnam Divided: War Above Southeast Asia,Ongoing,The Museum of Flight,Museums,South Seattle,,32.70030575,-94.94716355,
Science Fiction and Fantasy Hall of Fame,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,,47.621493099999995,-122.34822527405619,"[False, True, False]"
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing,Wing Luke Museum,Museums,International District,,47.5982461,-122.3228705,"[False, True, False]"
Honoring Our Journey,Ongoing,Wing Luke Museum,Museums,International District,,47.5982461,-122.3228705,"[False, True, False]"
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing,Museum of Glass,Museums,South,,47.24582405,-122.43381971536058,"[False, True, False]"
Great Hall of Washington History,Ongoing,Washington State History Museum,Museums,South,,47.2447212,-122.43608807502436,"[False, True, False]"
Humboldt Penguin Exhibit,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,,47.669143399999996,-122.35096188536495,"[False, True, False]"
Giant Pacific Octopus,Ongoing,Seattle Aquarium,Museums,Downtown,,47.60762475,-122.34322017076866,"[False, True, False]"
Meet our Marine Mammals,Ongoing,Seattle Aquarium,Museums,Downtown,,47.60762475,-122.34322017076866,"[False, True, False]"
Window on Washington Waters,Ongoing,Seattle Aquarium,Museums,Downtown,,47.60762475,-122.34322017076866,"[False, True, False]"
Guitar Gallery,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,,47.621493099999995,-122.34822527405619,"[False, True, False]"
Nordic Journeys,Ongoing,National Nordic Museum,Museums,Fremont / Ballard,,47.6683615,-122.39177949359151,"[False, True, False]"
Baird’s beaked whale,Ongoing,Burke Museum,Museums,University District,,47.6605211,-122.31156049949824,"[False, True, False]"
Amazing Life,Ongoing,Burke Museum,Museums,University District,,47.6605211,-122.31156049949824,"[False, True, False]"
